date,1. open,2. high,3. low,4. close,5. volume
2020-09-09 08:31:00,7.0899,7.0899,7.0899,7.0899,600.0
2020-09-09 08:22:00,7.08,7.08,7.07,7.07,600.0
2020-09-09 08:21:00,7.09,7.09,7.08,7.08,12850.0
2020-09-09 08:18:00,7.07,7.07,7.07,7.07,543.0
2020-09-09 08:15:00,7.08,7.08,7.08,7.08,1665.0
2020-09-09 08:13:00,7.07,7.07,7.07,7.07,230.0
2020-09-09 08:12:00,7.08,7.09,7.07,7.09,2576.0
2020-09-09 08:11:00,7.08,7.08,7.08,7.08,2075.0
2020-09-09 08:09:00,7.08,7.08,7.08,7.08,2255.0
2020-09-09 08:08:00,7.07,7.07,7.07,7.07,885.0
2020-09-09 08:06:00,7.06,7.0699,7.06,7.0699,1150.0
2020-09-09 08:05:00,7.07,7.08,7.06,7.06,10004.0
2020-09-09 08:04:00,7.08,7.08,7.08,7.08,357.0
2020-09-09 08:03:00,7.0701,7.0701,7.07,7.07,309.0
2020-09-09 08:02:00,7.07,7.07,7.07,7.07,100.0
2020-09-09 08:01:00,7.06,7.08,7.03,7.0799,32264.0
2020-09-09 07:58:00,7.06,7.06,7.06,7.06,410.0
2020-09-09 07:57:00,7.05,7.05,7.05,7.05,865.0
2020-09-09 07:47:00,7.05,7.05,7.05,7.05,607.0
2020-09-09 07:11:00,7.05,7.05,7.05,7.05,500.0
2020-09-09 07:01:00,7.06,7.06,7.03,7.04,23698.0
2020-09-09 06:51:00,7.06,7.06,7.05,7.05,1872.0
2020-09-09 06:10:00,7.09,7.09,7.09,7.09,1200.0
2020-09-09 06:05:00,7.09,7.1,7.06,7.06,2112.0
2020-09-09 05:57:00,7.05,7.05,7.05,7.05,538.0
2020-09-09 05:39:00,7.1,7.1,7.1,7.1,1300.0
2020-09-09 05:09:00,7.08,7.08,7.08,7.08,400.0
2020-09-09 05:08:00,7.08,7.08,7.08,7.08,100.0
2020-09-09 04:12:00,7.1,7.1,7.1,7.1,300.0
2020-09-09 04:01:00,7.1,7.1,7.1,7.1,250.0
2020-09-08 19:57:00,7.035,7.04,7.035,7.04,4455.0
2020-09-08 19:55:00,7.03,7.03,7.03,7.03,5000.0
2020-09-08 19:53:00,7.03,7.03,7.03,7.03,1000.0
2020-09-08 19:50:00,7.03,7.03,7.03,7.03,500.0
2020-09-08 19:40:00,7.03,7.03,7.03,7.03,3000.0
2020-09-08 19:35:00,7.04,7.04,7.04,7.04,725.0
2020-09-08 19:34:00,7.04,7.04,7.04,7.04,300.0
2020-09-08 19:33:00,7.05,7.05,7.05,7.05,100.0
2020-09-08 19:29:00,7.04,7.04,7.04,7.04,1995.0
2020-09-08 19:28:00,7.03,7.03,7.03,7.03,51710.0
2020-09-08 19:26:00,7.03,7.03,7.03,7.03,5000.0
2020-09-08 19:25:00,7.03,7.03,7.03,7.03,6015.0
2020-09-08 19:24:00,7.03,7.03,7.03,7.03,225.0
2020-09-08 19:22:00,7.04,7.04,7.04,7.04,115.0
2020-09-08 19:12:00,7.03,7.03,7.03,7.03,100.0
2020-09-08 19:09:00,7.03,7.03,7.03,7.03,20800.0
2020-09-08 19:02:00,7.0301,7.0301,7.0301,7.0301,117.0
2020-09-08 18:59:00,7.03,7.03,7.03,7.03,500.0
2020-09-08 18:52:00,7.03,7.03,7.03,7.03,102.0
2020-09-08 18:50:00,7.03,7.03,7.03,7.03,103.0
2020-09-08 18:47:00,7.03,7.03,7.03,7.03,4352.0
2020-09-08 18:45:00,7.03,7.03,7.03,7.03,502.0
2020-09-08 18:44:00,7.02,7.02,7.02,7.02,3171.0
2020-09-08 18:35:00,7.02,7.02,7.02,7.02,3496.0
2020-09-08 18:34:00,7.03,7.03,7.03,7.03,303.0
2020-09-08 18:33:00,7.03,7.03,7.03,7.03,330.0
2020-09-08 18:32:00,7.01,7.01,7.01,7.01,1040.0
2020-09-08 18:25:00,7.02,7.02,7.02,7.02,600.0
2020-09-08 18:24:00,7.02,7.02,7.01,7.01,770.0
2020-09-08 18:21:00,7.0,7.0,7.0,7.0,386.0
2020-09-08 18:20:00,7.02,7.02,7.02,7.02,156.0
2020-09-08 18:19:00,7.01,7.01,7.01,7.01,844.0
2020-09-08 18:18:00,7.0,7.0,7.0,7.0,5000.0
2020-09-08 18:17:00,7.01,7.01,7.01,7.01,220.0
2020-09-08 18:16:00,7.0,7.0,7.0,7.0,4843.0
2020-09-08 18:14:00,7.01,7.01,7.01,7.01,298.0
2020-09-08 18:12:00,7.01,7.01,7.01,7.01,417.0
2020-09-08 18:02:00,7.02,7.02,7.02,7.02,200.0
2020-09-08 18:01:00,7.01,7.02,7.01,7.02,2500.0
2020-09-08 18:00:00,7.02,7.02,7.02,7.02,235.0
2020-09-08 17:58:00,7.02,7.02,7.02,7.02,257.0
2020-09-08 17:57:00,7.02,7.02,7.02,7.02,229.0
2020-09-08 17:56:00,7.0,7.0,7.0,7.0,320.0
2020-09-08 17:54:00,7.0,7.0,7.0,7.0,459.0
2020-09-08 17:53:00,7.0,7.03,7.0,7.03,386.0
2020-09-08 17:52:00,7.03,7.03,7.0,7.0,459.0
2020-09-08 17:50:00,7.03,7.03,7.03,7.03,147.0
2020-09-08 17:49:00,7.02,7.02,7.0,7.0,418.0
2020-09-08 17:47:00,7.02,7.02,7.01,7.01,5030.0
2020-09-08 17:46:00,7.01,7.01,7.01,7.01,862.0
2020-09-08 17:45:00,7.01,7.01,7.01,7.01,2825.0
2020-09-08 17:43:00,7.03,7.03,7.03,7.03,171.0
2020-09-08 17:42:00,7.03,7.03,7.01,7.01,1572.0
2020-09-08 17:41:00,7.03,7.04,7.03,7.04,510.0
2020-09-08 17:40:00,7.04,7.04,7.03,7.04,222725.0
2020-09-08 17:38:00,7.04,7.04,7.04,7.04,422.0
2020-09-08 17:37:00,7.03,7.03,7.03,7.03,664.0
2020-09-08 17:36:00,7.03,7.04,7.03,7.04,6828.0
2020-09-08 17:34:00,7.05,7.05,7.04,7.04,4855.0
2020-09-08 17:33:00,7.05,7.05,7.05,7.05,242.0
2020-09-08 17:32:00,7.05,7.05,7.05,7.05,321.0
2020-09-08 17:31:00,7.04,7.04,7.04,7.04,5572.0
2020-09-08 17:30:00,7.05,7.05,7.05,7.05,120.0
2020-09-08 17:29:00,7.04,7.0402,7.04,7.0402,1356.0
2020-09-08 17:26:00,7.04,7.04,7.04,7.04,424.0
2020-09-08 17:25:00,7.05,7.05,7.05,7.05,446.0
