"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"HRMY","Harmony Biosciences Holdings, Inc.","42.92","$2.44B","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/hrmy",
"HMY","Harmony Gold Mining Company Limited","4.71","$2.81B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/hmy",
"HARP","Harpoon Therapeutics, Inc.","15.59","$395.68M","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/harp",
"HROW","Harrow Health, Inc.","6.81","$175.33M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/hrow",
"HSC","Harsco Corporation","16.23","$1.28B","n/a","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/hsc",
"HGH","Hartford Financial Services Group, Inc. (The)","27.74","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/hgh",
"HIG","Hartford Financial Services Group, Inc. (The)","46.34","$16.61B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/hig",
"HIG^G","Hartford Financial Services Group, Inc. (The)","28.77","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hig^g",
"HBIO","Harvard Bioscience, Inc.","4.06","$158.24M","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/hbio",
"HCAP","Harvest Capital Credit Corporation","3.09","$18.41M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hcap",
"HCAPZ","Harvest Capital Credit Corporation","24.5","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hcapz",
"HAS","Hasbro, Inc.","90.89","$12.45B","n/a","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/has",
"HVT","Haverty Furniture Companies, Inc.","30.16","$549.26M","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/hvt",
"HVT.A","Haverty Furniture Companies, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hvt.a",
"HE","Hawaiian Electric Industries, Inc.","38.28","$4.18B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/he",
"HA","Hawaiian Holdings, Inc.","19.18","$882.35M","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/ha",
"HWKN","Hawkins, Inc.","55.1","$587.95M","n/a","Consumer Durables","Specialty Chemicals","https://old.nasdaq.com/symbol/hwkn",
"HWBK","Hawthorn Bancshares, Inc.","21.3","$138.03M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/hwbk",
"HYAC","Haymaker Acquisition Corp. II","10.0207","$501.04M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hyac",
"HYACU","Haymaker Acquisition Corp. II","10.5","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hyacu",
"HYACW","Haymaker Acquisition Corp. II","0.93","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hyacw",
"HAYN","Haynes International, Inc.","22.47","$282.15M","2007","Capital Goods","Steel/Iron Ore","https://old.nasdaq.com/symbol/hayn",
"HBT","HBT Financial, Inc.","13.85","$380.28M","2019","Finance","Major Banks","https://old.nasdaq.com/symbol/hbt",
"HCHC","HC2 Holdings, Inc.","2.31","$109.39M","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/hchc",
"HCA","HCA Healthcare, Inc.","151.82","$51.37B","2011","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/hca",
"HCI","HCI Group, Inc.","52.99","$422.97M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/hci",
